Text_Ori,Text_clear,Label,Label_2,Check,Final_Label
Khóc vì thương Mẹ🥹,Khóc vì thương Mẹ,0,,,0
"Bước tiếp thì mệt mỏi dừng lại thì khổ con, bố mẹ già chưa làm được j , bản thân cũng ko tốt chỉ muốn chấm dứt hết ...","Bước tiếp thì mệt mỏi dừng lại thì khổ con, bố mẹ già chưa làm được gì , bản thân cũng không tốt chỉ muốn chấm dứt hết .",1,,,1
Mình cx như v khóc đến sưng mắt lên bb hỏi tại sao khóc thì lại kh biết lý do gì tự nhiên nc mắt lại trào ra v thôi nhưng trong tâm mình cx hiểu rằng do sự kìm nén quá lâu trong lòng những uất ức,Mình cũng như vậy khóc đến sưng mắt lên bạn bè hỏi tại sao khóc thì lại không biết lý do gì tự nhiên nước mắt lại trào ra vậy thôi nhưng trong tâm mình cũng hiểu rằng do sự kìm nén quá lâu trong lòng những uất ức,1,,,1
"t vừa chia tay được vài hôm, rồi lại nhận kết quả trượt học bổng chỉ vì thiếu drl hơn ngta. Trời mưa xối xả như mình đang khóc trong lòng vậy, cảm giác tủi thân và thất vọng về bản thân mình rất nhiều. Cơ hội rất khó để nắm được tiếp, t buồn quá nhưng không thay đổi được gì nữa rồi","tôi vừa chia tay được vài hôm, rồi lại nhận kết quả trượt học bổng chỉ vì thiếu điểm rèn luyện hơn người ta. Trời mưa xối xả như mình đang khóc trong lòng vậy, cảm giác tủi thân và thất vọng về bản thân mình rất nhiều. Cơ hội rất khó để nắm được tiếp, tôi buồn quá nhưng không thay đổi được gì nữa rồi",0,,,0
"Tôi tủi thân , tôi mệt mỏi quá bay ơi🥺🥺🥺","Tôi tủi thân , tôi mệt mỏi quá bay ơi",0,,,0
Đang cười xong một lát lại khóc,Đang cười xong một lát lại khóc,2,,,2
"chuyện gì làm không được, thì vừa khóc vừa làm 👍🏻🌻","chuyện gì làm không được, thì vừa khóc vừa làm",0,,,0
Đi làm cả ngày về ổ khoá bị kẹt kh mở được cửa phòng mà đứng khóc hết 30p,Đi làm cả ngày về ổ khoá bị kẹt không mở được cửa phòng mà đứng khóc hết 30 phút,0,,,0
"Thật ra là mình chưa hề ổn lúc nào cả chỉ là bg mình k chịu được nữa nên nước mắt cứ thế rơi thôi, bởi ngta hay nói dù kiên cường thế nào củng có lúc mệt nhoài ❤️‍🩹","Thật ra là mình chưa hề ổn lúc nào cả chỉ là bây giờ mình không chịu được nữa nên nước mắt cứ thế rơi thôi, bởi người ta hay nói dù kiên cường thế nào củng có lúc mệt nhoài",0,,,0
"Mình bị đổ oan, bị thành 1 người tồi tệ, sếp coi mình như cái gai trong mắt","Mình bị đổ oan, bị thành 1 người tồi tệ, sếp coi mình như cái gai trong mắt",0,,,0
mình tủi thân cảm thấy mệt mỏi quá bao nhiêu chuyện ập đến khiến mình cảm thấy ngạt thở🥺,mình tủi thân cảm thấy mệt mỏi quá bao nhiêu chuyện ập đến khiến mình cảm thấy ngạt thở,0,,,0
"Mk khóc vì mk thấy tủi thân những việc quan trọng của mk k được gđ ủng hộ ai cũng phản đối, và những việc mk làm k 1 ai ghi nhận trong khi mk đã rất cố gắng làm tốt , trong gđ mk ai cũng nghĩ","Mình khóc vì mình thấy tủi thân những việc quan trọng của mình không được gia đình ủng hộ ai cũng phản đối, và những việc mình làm không 1 ai ghi nhận trong khi mình đã rất cố gắng làm tốt , trong gia đình mình ai cũng nghĩ",0,,,0
Mình khóc vì tuổi thân khóc vì chính gia đình nơi mà mình được sinh ra nhưng mình chưa bao giờ có được tình thương hạnh phúc như bao người,Mình khóc vì tuổi thân khóc vì chính gia đình nơi mà mình được sinh ra nhưng mình chưa bao giờ có được tình thương hạnh phúc như bao người,0,,,0
"Có những ngày tủi thân đến bật khóc. Cảm giác đang từ trên đỉnh vinh quang ngã xuống địa ngục, thật sự bất lực 🙂","Có những ngày tủi thân đến bật khóc. Cảm giác đang từ trên đỉnh vinh quang ngã xuống địa ngục, thật sự bất lực ",0,,,0
"bố mẹ đi làm ăn xa từ lúc tôi lớp 4 giờ đây tôi đã lớp 12 ròi mà ước muốn là được ở gần bố mẹ nhiều hơn vì mỗi lúc tủi thân , buồn không có ai để chia sẻ","bố mẹ đi làm ăn xa từ lúc tôi lớp 4 giờ đây tôi đã lớp 12 ròi mà ước muốn là được ở gần bố mẹ nhiều hơn vì mỗi lúc tủi thân , buồn không có ai để chia sẻ",2,,,2
Lên Hà Nội 1 tháng và mình cảm thấy rất nhớ nhà nhớ mẹ nhớ bố 😭😭,Lên Hà Nội 1 tháng và mình cảm thấy rất nhớ nhà nhớ mẹ nhớ bố ,2,,,2
"mình rất tủi thân tại sao cuộc đời này chả dịu dàng với mình chút nào cả mình luon tự trách bản thân mình rằng sao nó khó đến vậy áp lực về gia đình, đi học luon bị bạn bè kỳ thị, xa lánh 🥺","mình rất tủi thân tại sao cuộc đời này chả dịu dàng với mình chút nào cả mình luôn tự trách bản thân mình rằng sao nó khó đến vậy áp lực về gia đình, đi học luôn bị bạn bè kỳ thị, xa lánh ",1,,,1
Mk khóc cả thág này rồi mỗi ngày trôi qua đối vs mk nó ngột ngạt và chán lm,Mình khóc cả tháng này rồi mỗi ngày trôi qua đối với mình nó ngột ngạt và chán làm,0,,,0
Cố lên em vì em của hiện tại cũng vì em của tương lai đừng để bản thân không vui nếu mệt mỏi quá thì có thể tìm anh🌷,Cố lên em vì em của hiện tại cũng vì em của tương lai đừng để bản thân không vui nếu mệt mỏi quá thì có thể tìm anh,2,,,2
"chẳng biết tại saoo ? t đã tủi thân khóc như 1 đứa trẻ, cố động viên mình ngày mai thức dậy lại nén nc mắt vào trong mà chạy băng băng 🥲","chẳng biết tại saoo ? Tôi đã tủi thân khóc như 1 đứa trẻ, cố động viên mình ngày mai thức dậy lại nén nước mắt vào trong mà chạy băng băng ",2,,,2
"ls đây,cho dù có chuyện j xảy ra, có tồi tệ ik chăng nữa mình cũng k rơi nước mắt đc","Làm sao đây,cho dù có chuyện gì xảy ra, có tồi tệ đi chăng nữa mình cũng không rơi nước mắt được",1,,,1
"hồi thì vui như điên nói chuyện rôm rã hồi thì kiểu buồn ko muốn nói chuỵen vs ai r ngồi nhớ lại chuyện cũ cái khóc ,đôi khi buồn buồn mệt mệt cái khóc ko có lí do nào cả ,oi con ng t bị gì v tr","hồi thì vui như điên nói chuyện rôm rã hồi thì kiểu buồn không muốn nói chuyện với ai rồi ngồi nhớ lại chuyện cũ cái khóc ,đôi khi buồn buồn mệt mệt cái khóc không có lí do nào cả , ôi con người tôi bị gì vậy trời",0,,,0
"Mình áp lực , mình suy nghĩ , mình giỏi chịu đựng , mình cũng mệt mỏi mà …","Mình áp lực , mình suy nghĩ , mình giỏi chịu đựng , mình cũng mệt mỏi mà …",0,,,0
"Ngày nào cũng như ngày nào,sẽ có 1-2h khiến tôi phải bật khóc như 1 đứa trẻ con 😔😔","Ngày nào cũng như ngày nào,sẽ có 1-2 giờ khiến tôi phải bật khóc như 1 đứa trẻ con ",0,,,0
"Không biết đang cố gắng vì điều gì , gđ , tình cảm luôn đè nặng bản thân , trên cõi đời này chẳng ai quan tâm đến cảm xúc mình , lỗi nào cũng là mình ( nên cố gắng sống tiếp hay dừng lại cho bản thân nhẹ nhàng hơn ☺️)","Không biết đang cố gắng vì điều gì , gia đình , tình cảm luôn đè nặng bản thân , trên cõi đời này chẳng ai quan tâm đến cảm xúc mình , lỗi nào cũng là mình ( nên cố gắng sống tiếp hay dừng lại cho bản thân nhẹ nhàng hơn)",1,,,1
dạo này cả mình nhiều khó khăn chồng chất stress nhiều. không có chuyện gì như ý muốn cả . 1 mình lo 2 con quả là kh dễ dàg,dạo này cả mình nhiều khó khăn chồng chất stress nhiều. không có chuyện gì như ý muốn cả . 1 mình lo 2 con quả là không dễ dàng,0,,,0
Mình thất vọng bản thân chả làm tốt việc gì cả 😑 tình yêu công việc gia đình áp lức đủ thức 😭 đúng là làm người lớn chả dễ lúc nào 🥹 chả việc gì ra hồn 🥲,Mình thất vọng bản thân chả làm tốt việc gì cả tình yêu công việc gia đình áp lức đủ thức đúng là làm người lớn chả dễ lúc nào chả việc gì ra hồn,0,,,0
Đôi lúc thấy bản thân tệ quá . Thương cha mẹ nhiều lắm vì chưa làm được gì,Đôi lúc thấy bản thân tệ quá . Thương cha mẹ nhiều lắm vì chưa làm được gì,1,,,1
Mọi chuyện rồi sẽ tốt mà có chuyện gì đi nữa anh sẽ luôn bên cạnh em che chở và yêu thương em mỗi ngày em đừng buồn nữa nha,Mọi chuyện rồi sẽ tốt mà có chuyện gì đi nữa anh sẽ luôn bên cạnh em che chở và yêu thương em mỗi ngày em đừng buồn nữa nha,2,,,2
"Mình sinh ra là để không được tôn trọng đúng không? Gặp ai cũng không được tôn trọng, tại sao mình lại gặp những thứ này","Mình sinh ra là để không được tôn trọng đúng không? Gặp ai cũng không được tôn trọng, tại sao mình lại gặp những thứ này",1,,,1
"Cảm thấy bản thân mình đã thay đổi quá nhiều, không còn dám nói ra những gì mình muốn nói, làm những gì mình muốn làm, chỉ cố gắng kìm nén, rồi tự an ủi bản thân , không sao hết, cố lên ❤️","Cảm thấy bản thân mình đã thay đổi quá nhiều, không còn dám nói ra những gì mình muốn nói, làm những gì mình muốn làm, chỉ cố gắng kìm nén, rồi tự an ủi bản thân , không sao hết, cố lên ",2,,,2
Kiểu như là lúc đầu mình khóc chỉ vì bị tress xong cái hồi sau là suy nghĩ về gđ xong cái hồi sau là chuyện kiếm tiền hồi sau là tình yêu mà chưa bao h em khóc vì bản thân em ?,Kiểu như là lúc đầu mình khóc chỉ vì bị tress xong cái hồi sau là suy nghĩ về gia đình xong cái hồi sau là chuyện kiếm tiền hồi sau là tình yêu mà chưa bao giờ em khóc vì bản thân em ?,2,,,2
Công việc áp lực lắm mn ạ 🥺,Công việc áp lực lắm mọi người ạ,2,,,2
"Từ khi bầu o nhà nhiều lúc không biết tai sao lai khóc, ngồi thẫn thờ :))","Từ khi bầu ở nhà nhiều lúc không biết tại sao lại khóc, ngồi thẫn thờ",2,,,2
"Mình hay nghĩ là mình không nên nói áp lực của mình cho gia đình ba mẹ nghe, sợ họ lo lắng. Nhưng mà không nên nha. Hôm qua mình vị sếp chửi, mình khóc, mình gọi về nhà. Lần đầu tiên mình khóc trước mặt ba mẹ như 1 đứa trẻ. Cái kiểu mà ấm ức chỉ nấc lên thôi á.","Mình hay nghĩ là mình không nên nói áp lực của mình cho gia đình ba mẹ nghe, sợ họ lo lắng. Nhưng mà không nên nha. Hôm qua mình vị sếp chửi, mình khóc, mình gọi về nhà. Lần đầu tiên mình khóc trước mặt ba mẹ như 1 đứa trẻ. Cái kiểu mà ấm ức chỉ nấc lên thôi á.",2,,,2
"Vào 1 ngày tồi tệ bạn sẽ cảm thấy rất tủi thân khi không có ai bên cạnh gia đình, người yêu hay bạn bè","Vào 1 ngày tồi tệ bạn sẽ cảm thấy rất tủi thân khi không có ai bên cạnh gia đình, người yêu hay bạn bè",2,,,2
"Tự nhiên ngồi bật khóc nức nở và lý do là gì thì k biết . Cảm giác sự mệt mỏi dồn nén vs bao nhiêu lo toan và suy nghĩ , n làm t phát điên lên và khóc .","Tự nhiên ngồi bật khóc nức nở và lý do là gì thì không biết . Cảm giác sự mệt mỏi dồn nén với bao nhiêu lo toan và suy nghĩ , nó làm tôi phát điên lên và khóc .",0,,,0
Chẳng đường phía trước còn nhiều thử thách chông gai biết đến lúc nào mới ổn hơn đây 😢😢,Chẳng đường phía trước còn nhiều thử thách chông gai biết đến lúc nào mới ổn hơn đây ,1,,,1
"Không nói ra được, nên dù đã qua nhưng đôi khi nhớ lại vẫn thấy tủi mà khóc","Không nói ra được, nên dù đã qua nhưng đôi khi nhớ lại vẫn thấy tủi mà khóc",2,,,2
Có những lúc vừa lái xe rồi tự dưng bật khóc nghẹn trong lòng 😞 thương bố mẹ thương cái thân này rồi nghĩ về tương lai áp lực gồng gánh chẳng thể nào mà san sẻ cho ai 😥,Có những lúc vừa lái xe rồi tự dưng bật khóc nghẹn trong lòng thương bố mẹ thương cái thân này rồi nghĩ về tương lai áp lực gồng gánh chẳng thể nào mà san sẻ cho ai ,1,,,1
Đôi lúc bật khóc vì k muốn gồng mình lên mạnh mẽ nữa,Đôi lúc bật khóc vì không muốn gồng mình lên mạnh mẽ nữa,0,,,0
Đroii mình khóc nhiều vì tiền tệ nữa lại tủi thân 🥺,Đúng rồi mình khóc nhiều vì tiền tệ nữa lại tủi thân ,2,,,2
Khóc là một cái gì đó t đã trải rất nhiều… đặc biệt là thứ tình yêu đó,Khóc là một cái gì đó tôi đã trải rất nhiều… đặc biệt là thứ tình yêu đó,2,,,2
"Thật sự nặng nề quá, tối nào cũng khóc trong vô thức ☺️","Thật sự nặng nề quá, tối nào cũng khóc trong vô thức ",0,,,0
Nhiều lúc nó bất lực tự nhiên nước mắt cứ thế tuôn trào 😌🥺,Nhiều lúc nó bất lực tự nhiên nước mắt cứ thế tuôn trào ,0,,,0
Mình đang bị khủng hoảng trước khi lấy chồng,Mình đang bị khủng hoảng trước khi lấy chồng,0,,,0
Lần thứ 2 mình rơi nước mắt vì áp lực gia đình công việc tình cảm lần thứ hai mình cảm thấy mình yếu đuối áp lực chắng nói hay tâm sự duoc vs ai 😥,Lần thứ 2 mình rơi nước mắt vì áp lực gia đình công việc tình cảm lần thứ hai mình cảm thấy mình yếu đuối áp lực chắng nói hay tâm sự được với ai,2,,,2
Thương bản thân mình quá. Luôn phải chịu đựng vì suy nghĩ của bản thân. Áp lực xh. Và cảm xúc. Bất lực thật sự,Thương bản thân mình quá. Luôn phải chịu đựng vì suy nghĩ của bản thân. Áp lực xã hội. Và cảm xúc. Bất lực thật sự,0,,,0
"trước đây còn giả vờ được vui vẻ, luôn tươi cười. Giờ thì ngay cả giả vờ cũng không có sức nữa. mình cảm thấy mệt mỏi, cô đơn, lạc lõng","trước đây còn giả vờ được vui vẻ, luôn tươi cười. Giờ thì ngay cả giả vờ cũng không có sức nữa. mình cảm thấy mệt mỏi, cô đơn, lạc lõng",0,,,0
"Đôi lúc chẳng hiểu sao nữa,bản thân đột nhiên bật khóc mà k vì lý do gì cả","Đôi lúc chẳng hiểu sao nữa,bản thân đột nhiên bật khóc mà không vì lý do gì cả",2,,,2
Cố gắng thì đó không phải là con đường mình thực sự mong muốn nhưng nếu không cố thì sự kì vọng của gia đình thành con số 0,Cố gắng thì đó không phải là con đường mình thực sự mong muốn nhưng nếu không cố thì sự kì vọng của gia đình thành con số 0,2,,,2
"Trên đường tan ca về, trời đổ mưa lớn vừa hay nước mắt cũng vừa rơi... ông trời thương mình muốn bảo vệ mình đó","Trên đường tan ca về, trời đổ mưa lớn vừa hay nước mắt cũng vừa rơi... ông trời thương mình muốn bảo vệ mình đó",2,,,2
"Mình mệt quá, tồn tại chỉ vì mẹ, chỉ cần mình dọn dẹp xong mớ hỗn độn này và bù đắp lại mẹ, mình sẽ ngủ thật sâu. Sẽ không còn phải nặng lòng, hay suy nghĩ quá nhiều nữa.","Mình mệt quá, tồn tại chỉ vì mẹ, chỉ cần mình dọn dẹp xong mớ hỗn độn này và bù đắp lại mẹ, mình sẽ ngủ thật sâu. Sẽ không còn phải nặng lòng, hay suy nghĩ quá nhiều nữa.",0,,,0
quá quen với việc sưng mắt🙂😅,quá quen với việc sưng mắt,2,,,2
Nếu không cố gắng được nữa thì sao ạ 😞,Nếu không cố gắng được nữa thì sao ạ ,1,,,1
Tự nhiên thấy bản thân mình chẳng có ý nghĩa gì với cuộc đời này hết 🥺,Tự nhiên thấy bản thân mình chẳng có ý nghĩa gì với cuộc đời này hết ,2,,,2
Cho phép bản thân mệt chút thôi rồi lại cố gắng tiếp nhé các cô gái. Chúng ta mỗi người đều sẽ là 1 cô gái mạnh mẽ ạ🥰,Cho phép bản thân mệt chút thôi rồi lại cố gắng tiếp nhé các cô gái. Chúng ta mỗi người đều sẽ là 1 cô gái mạnh mẽ ạ,2,,,2
Khóc về ngoài xã hội quá áp lực đồng tiền vắt kiệt sức lực 🥺🥺🥺🥺,Khóc về ngoài xã hội quá áp lực đồng tiền vắt kiệt sức lực,0,,,0
có những lúc mình vừa khóc vừa run lên r đếm từ 1-999 .,có những lúc mình vừa khóc vừa run lên rồi đếm từ 1 đến 999 .,2,,,2
"ghét chính mình, rất nhìu tại sao vậy. khóc vì điều gì đây","ghét chính mình, rất nhìu tại sao vậy. khóc vì điều gì đây",0,,,0
"T đag ăn cốc chè ở bàn, tự nhiên nước mắt t cứ rơi ra, t ngồi khóc k ngừng đc, nước mắt rơi liên tục. Khóc nấc cả lên. Chồng t k biết bị sao, chồng t hỏi t có vấn đề gì. nhưng t bảo: để em yên em sẽ tự hết. T khóc 1 lúc tinh thần t bình ổn lại. T lại ngồi ăn tiếp. T áp lực đến mức tinh thần bất ổn. Chồng t biết vì những năm trc đây t từng bị như vậy. Bao lâu r giờ mới bị lại.","Tôi đang ăn cốc chè ở bàn, tự nhiên nước mắt tôi cứ rơi ra, tôi ngồi khóc không ngừng được, nước mắt rơi liên tục. Khóc nấc cả lên. Chồng tôi không biết bị sao, chồng tôi hỏi tôi có vấn đề gì. nhưng tôi bảo: để em yên em sẽ tự hết. Tôi khóc 1 lúc tinh thần tôi bình ổn lại. Tôi lại ngồi ăn tiếp. Tôi áp lực đến mức tinh thần bất ổn. Chồng tôi biết vì những năm trước đây tôi từng bị như vậy. Bao lâu rồi giờ mới bị lại.",2,,,2
"T muốn gọi về cho gđ,kể lể,than phiền,muốn được ôm ấp như lúc còn ở nhà,t muốn có 1 giấc ngủ thật ngon…","Tôi muốn gọi về cho gia đình,kể lể,than phiền,muốn được ôm ấp như lúc còn ở nhà,tôi muốn có 1 giấc ngủ thật ngon",2,,,2
"Càng lớn càng thấy thương bố mẹ nhiều hơn thôi. Chưa làm đc gì cho bố mẹ, tự đánh mất tương lai của bản thân…","Càng lớn càng thấy thương bố mẹ nhiều hơn thôi. Chưa làm được gì cho bố mẹ, tự đánh mất tương lai của bản thân",1,,,1
Mẹ ơi con sợ phải trưởng thành quá. Làm sao để thời gian quay lại đây,Mẹ ơi con sợ phải trưởng thành quá. Làm sao để thời gian quay lại đây,1,,,1
Đã 30t ở nhà chăm con vẫn chưa thể làm gì ra tiền…Bame thì đã già nhưng vẫn chưa lo gì đc.🥺,Đã 30 tuổi ở nhà chăm con vẫn chưa thể làm gì ra tiền…Ba me thì đã già nhưng vẫn chưa lo gì được.,1,,,1
ước gì bây giờ có mẹ ở đay .. con chỉ muốn ôm mẹ và tâm sự và khóc thật to về những gì con đã trải qua … con thật sự mệt mõi lắm mẹ ạ 😣,ước gì bây giờ có mẹ ở đay .. con chỉ muốn ôm mẹ và tâm sự và khóc thật to về những gì con đã trải qua … con thật sự mệt mõi lắm mẹ ạ ,0,,,0
họ còn có khoảng tg hp để nhớ còn mình lại chưa từng có lấy 1 phút bình yên . thử hỏi tg qua đã tồn tại ntn,họ còn có khoảng thời gian hạnh phúc để nhớ còn mình lại chưa từng có lấy 1 phút bình yên . thử hỏi thời gian qua đã tồn tại như thế nào,1,,,1
"1 ngày trôi qua của còn có thể làm 14-16 tiếng. Thực sự rất mệt, rất áp lực, nhưng làm sao? Làm sao có thể cho thời gian làm bố mẹ không già đi đây 🥺","1 ngày trôi qua của còn có thể làm 14-16 tiếng. Thực sự rất mệt, rất áp lực, nhưng làm sao? Làm sao có thể cho thời gian làm bố mẹ không già đi đây ",1,,,1
Tôi cũng vậy gia đình k còn như xưa stress lắm ạ 😭,Tôi cũng vậy gia đình không còn như xưa stress lắm ạ ,0,,,0
áp lực stress nhiều điều mình rối loạn lo âu. mình đã tìm được cuốn sách tâm lý Cuộc hành trình của Đoàn Thị Lâm đã giúp mình bước ra khỏi những tiêu cực những lo âu,áp lực stress nhiều điều mình rối loạn lo âu. mình đã tìm được cuốn sách tâm lý Cuộc hành trình của Đoàn Thị Lâm đã giúp mình bước ra khỏi những tiêu cực những lo âu,2,,,2
"chàng trai vừa tốt nghiệp gánh nặng bắt đầu, thương ba mẹ, thương em đành mất em","chàng trai vừa tốt nghiệp gánh nặng bắt đầu, thương ba mẹ, thương em đành mất em",2,,,2
Càng lớn càng nhiều áp lực mệt mỏi 😥,Càng lớn càng nhiều áp lực mệt mỏi ,1,,,1
Ước j thời gian quay trở lại,Ước gì thời gian quay trở lại,2,,,2
mệt thật. Không thể trải lòng được với ai,mệt thật. Không thể trải lòng được với ai,0,,,0
Càng suy nghĩ lại thấy bản thân chưa cố gắng nên bố mẹ vẫn phải lao động,Càng suy nghĩ lại thấy bản thân chưa cố gắng nên bố mẹ vẫn phải lao động,1,,,1
Đến lúc nào bản thân mới vượt qua được khoảng thời gian này. Stress thực sự🥺,Đến lúc nào bản thân mới vượt qua được khoảng thời gian này. Stress thực sự,0,,,0
"Đã rất lâu rồi tôi không còn lại cảm giác hồn nhiên , vô lo vô nghĩ . Trưởng thành là một hành trình đầy rầy áp lực và mệt mỏi.","Đã rất lâu rồi tôi không còn lại cảm giác hồn nhiên , vô lo vô nghĩ . Trưởng thành là một hành trình đầy rầy áp lực và mệt mỏi.",2,,,2
"càng lớn càng nhiều suy nghĩ,càng thương ba mẹ nhiều hơn,sắp ra trường và cảm thấy phải đối mặt với nhiều thứ,bản thân không còn nhỏ nữa...🥺🥺","càng lớn càng nhiều suy nghĩ,càng thương ba mẹ nhiều hơn,sắp ra trường và cảm thấy phải đối mặt với nhiều thứ,bản thân không còn nhỏ nữa.",2,,,2
Nhìn lại tấm hình hồi 2019 với bây giờ khác nhiều nhất là đôi mắt ….,Nhìn lại tấm hình hồi 2019 với bây giờ khác nhiều nhất là đôi mắt ,2,,,2
Đọc thôi thấy mình trong đó rồi...và nước mắt nó tự khắc chảy ra...,Đọc thôi thấy mình trong đó rồi...và nước mắt nó tự khắc chảy ra.,2,,,2
mình thì mệt từ nhỏ cơ hoàn cảnh gia đình ép mình phải hiểu chuyện phải trưởng thành thật sự rất mệt mình còn chẳng có tuổi thơ nữa,mình thì mệt từ nhỏ cơ hoàn cảnh gia đình ép mình phải hiểu chuyện phải trưởng thành thật sự rất mệt mình còn chẳng có tuổi thơ nữa,2,,,2
mình mệt mỏi với cái cách mẹ bảo vệ mình ngày mình càng ko có bạn cô đơn lắm,mình mệt mỏi với cái cách mẹ bảo vệ mình ngày mình càng không có bạn cô đơn lắm,0,,,0
nếu biết trước mình đã không trong ngóng nôn nóng để lớn:(((,nếu biết trước mình đã không trong ngóng nôn nóng để lớn,1,,,1
Cái tôi sợ nhất trong lúc này đó là sức khoẻ của ba tôi 🥺,Cái tôi sợ nhất trong lúc này đó là sức khoẻ của ba tôi ,1,,,1
Càng lớn cảm thấy càng mệt . Sk sút ngày íu ớt đau lên đau xún áp lực gđ rồi cv đến xh 😌mệt thật sự,Càng lớn cảm thấy càng mệt . Sức khỏe sút ngày yếu ớt đau lên đau xuống áp lực gia đình rồi công việc đến xã hội mệt thật sự,0,,,0
"Dạo này tiêu cực lắm lúc trước còn kể còn nói cho người này người kia nghe bây giờ thì không muốn nói nữa, cảm thấy mình khác trước nhiều...","Dạo này tiêu cực lắm lúc trước còn kể còn nói cho người này người kia nghe bây giờ thì không muốn nói nữa, cảm thấy mình khác trước nhiều...",2,,,2
ước gì ngày xưa ấy trở lại 😅.1 thân 1 mình vô lo muốn làm gì cũng đc.giờ stress thực sự,ước gì ngày xưa ấy trở lại.1 thân 1 mình vô lo muốn làm gì cũng được .giờ stress thực sự,0,,,0
Công việc hiện tại không yêu thích mỗi ngày thức dậy là 1 ngày mệt mỏi,Công việc hiện tại không yêu thích mỗi ngày thức dậy là 1 ngày mệt mỏi,2,,,2
"Bố mẹ nói đúng: "" Ra đời kiếm tiền rồi con sẽ hiểu cho bố mẹ""♥️","Bố mẹ nói đúng: "" Ra đời kiếm tiền rồi con sẽ hiểu cho bố mẹ""",2,,,2
tôi ước gì mình mãi nhỏ và bố mẹ đừng già đi🥺,tôi ước gì mình mãi nhỏ và bố mẹ đừng già đi,2,,,2
Mệt thì mêt những vẫn phải gượng cười thoi,Mệt thì mêt những vẫn phải gượng cười thôi,2,,,2
Càng lớn t càng cảm thấy bị street . Hay nghĩ vu vơ những chg những thứ vớ vẩn k đáng nghĩ 😢,Càng lớn tôi càng cảm thấy bị street . Hay nghĩ vu vơ những chuyện những thứ vớ vẩn không đáng nghĩ ,1,,,1
Vừa đọc vừa lâu nước mắt. Cố lên tôi ơi 😊,Vừa đọc vừa lâu nước mắt. Cố lên tôi ơi ,2,,,2
tuổi thơ là đoạn ký ức vui vẻ nhất trong đời. và nó cũng ko bao giờ trở lại,tuổi thơ là đoạn ký ức vui vẻ nhất trong đời. và nó cũng không bao giờ trở lại,2,,,2
Ước gì có thể quay lại cái tuổi vô lo vô nghĩ🥺,Ước gì có thể quay lại cái tuổi vô lo vô nghĩ,2,,,2
"Không hiểu bản thân đang bin gì mà dễ dàng để tiêu cực xâm chiếm suy nghĩ, để rồi kh ngủ được, kh ăn đủ bữa, cảm nhận cơ thể yếu đuối dần nhưng…","Không hiểu bản thân đang bị gì mà dễ dàng để tiêu cực xâm chiếm suy nghĩ, để rồi không ngủ được, không ăn đủ bữa, cảm nhận cơ thể yếu đuối dần nhưng…",1,,,1
lâu lắm rồi bản thân k còn cuời nữa.. ngày nào cũng đi làm về tâm trạng mệt mỏi.. :((,lâu lắm rồi bản thân không còn cuời nữa.. ngày nào cũng đi làm về tâm trạng mệt mỏi.,1,,,1
"tớ nhớ cái ôm của mẹ, nhớ cơm bà nấu, nhớ về ngày xưa","tớ nhớ cái ôm của mẹ, nhớ cơm bà nấu, nhớ về ngày xưa",1,,,1
"Tôi cũng thế, nhưng tiếc là những kí ức của tôi ko đẹp, nó là nỗi ám ảnh tôi muốn xoá đi, ko hiểu sao nó cứ ùa về, ko thở nổi nữa r…","Tôi cũng thế, nhưng tiếc là những kí ức của tôi không đẹp, nó là nỗi ám ảnh tôi muốn xoá đi, không hiểu sao nó cứ ùa về, không thở nổi nữa rồi",1,,,1
"Kim đồng hồ chạy sai, từng giây từng phút đều sai, nhưng khi nó đứng lại, trong 1 ngày nó lại chạy đúng 2 lần","Kim đồng hồ chạy sai, từng giây từng phút đều sai, nhưng khi nó đứng lại, trong 1 ngày nó lại chạy đúng 2 lần",2,,,2
Tôi không nhớ rõ nữa. Từ rất lâu rồi tôi không còn hồn nhiên vui vẻ thay vào đó là áp lực chồng chất suy nghĩ^^,Tôi không nhớ rõ nữa. Từ rất lâu rồi tôi không còn hồn nhiên vui vẻ thay vào đó là áp lực chồng chất suy nghĩ,2,,,2
điều ước nhỏ nhoi nhưng chẳng bh quay lại đc chỉ ước là còn bé về với bố mẹ mẹ ơi,điều ước nhỏ nhoi nhưng chẳng bao giờ quay lại được chỉ ước là còn bé về với bố mẹ mẹ ơi,2,,,2
"chính vì chênh vênh, mất phương hướng, sợ hãi nên khi vượt qua được giai đoạn đó sau này nhìn lại mới thấy mình đã nổ lực, dáng vẻ cố gắng rực rỡ ra sao.","chính vì chênh vênh, mất phương hướng, sợ hãi nên khi vượt qua được giai đoạn đó sau này nhìn lại mới thấy mình đã nổ lực, dáng vẻ cố gắng rực rỡ ra sao.",2,,,2
"mong mình đủ mạnh mẽ để vượt qua tất cả , vì ước mơ của chính bản thân mình mà cố gắng cho tương lai sau này .","mong mình đủ mạnh mẽ để vượt qua tất cả , vì ước mơ của chính bản thân mình mà cố gắng cho tương lai sau này .",2,,,2
ngăn cản não để không phải suy nghĩ nữa thì tim không chịu nghe,ngăn cản não để không phải suy nghĩ nữa thì tim không chịu nghe,0,,,0
Mông lung quá công việc chưa ổn định người trong lòng thì kh có ai :)),Mông lung quá công việc chưa ổn định người trong lòng thì không có ai,1,,,1
